x,y,cohort,time,salience
0.08968336104820467,-0.04799844083134367,2,24,
0.08711828037585903,-0.044133529428849606,2,25,
0.08631602737595306,-0.04115319412352593,2,26,
0.07881030717602085,-0.038452328153445556,2,27,
0.08198871822692672,-0.03477658917324312,2,28,
0.08070219002712704,-0.032841103367826016,2,29,
0.09359071895044802,-0.028518953708177863,2,30,
0.09933429758600881,-0.025560574716841908,2,31,
0.10933728470353976,-0.01986231622654129,2,32,
0.11331671449751807,-0.015601283176882615,2,33,
0.11910853895389906,-0.011537800692665112,2,34,
0.12325885431603932,-0.005242881648625799,2,35,
0.12804166712889076,0.008386637662454509,2,36,
0.12907145901926395,0.010013744087540275,2,37,
0.1288096238735943,0.016836029631084458,2,38,
0.1253355220046952,0.01764530696922411,2,39,
0.12282453019027506,0.02643163756011799,2,40,
0.1155190921141571,0.03063388455748274,2,41,
0.11630466851596571,0.03340368445443089,2,42,
0.11770627332897263,0.03261983639643767,2,43,
0.11163447343402473,0.03188651644342033,2,44,
0.11612529755131708,0.03257045497720933,2,45,
0.10985404206266354,0.03602474187333202,2,46,
0.11273401018724721,0.036601090882285914,2,47,
0.11227851021037077,0.037817337875838845,2,48,
0.1088465974167546,0.03821923883725069,2,49,
0.10066010837277396,0.04210608991340872,2,50,
0.09250832845272154,0.04391806704933089,2,51,
0.08066127224720329,0.04763651910962537,2,52,
0.06539488332704539,0.052576349582678775,2,53,
0.05466270420640049,0.05618184917204955,2,54,
0.044030846890789,0.06022237177452808,2,55,
0.035637278495397724,0.06229445806602676,2,56,
0.027346944609411648,0.0634353551810154,2,57,
0.018125573005782443,0.063494495744564,2,58,
0.011497949544987394,0.0626835866583978,2,59,
0.0026258139842332893,0.05946715849744378,2,60,
0.003947729422192321,0.06049323173432279,2,61,
0.0006067772984100186,0.05894585083761591,2,62,
-0.005414552107933439,0.05398213935755427,2,63,
-0.011635039242186009,0.04723945784994838,2,64,
-0.012462820332539194,0.04966619118538859,2,65,
-0.016342557178052997,0.04564613696728016,2,66,
-0.01540106808587269,0.04768501768223879,2,67,
-0.023491647610678602,0.03990438998399727,2,68,
-0.025391547002392302,0.034918163257764645,2,69,
-0.025795617525650592,0.03162826950635986,2,70,
-0.020368331048379523,0.04116754500070828,2,71,
-0.022067887552971326,0.04030313856212945,2,72,
-0.0165629230844055,0.04634888052064148,2,73,
-0.019162047822234372,0.043964596149194235,2,74,
-0.016696339186219048,0.04590313788453469,2,75,
-0.0197976983543853,0.03961199185325433,2,76,
-0.022891901331877556,0.04140036114230885,2,77,
-0.025004401565875363,0.03904444638253841,2,78,
-0.02614336070410347,0.03761448890489264,2,79,
-0.02736768261654903,0.034841125001726085,2,80,
-0.026521113097442026,0.029142577680770634,2,81,
-0.021672873435178066,0.025224707153186293,2,82,
-0.0207101842951119,0.025640123634429326,2,83,
-0.016226455091343194,0.01674495656835362,2,84,
-0.00776409682692913,0.013356390492828336,2,85,
-0.004713883821195109,0.008731009081149592,2,86,
-0.0015304888822431084,0.006238690324375017,2,87,
0.0013641502494949058,0.0037508239591722485,2,88,
-0.0040801138185281895,0.008201768480151762,2,89,
-0.00852701962613374,0.013378109692710938,2,90,
-0.013267545728311,0.01713983540238108,2,91,
-0.015038353150974071,0.021094338128949754,2,92,
-0.023525023919406883,0.024595655309097835,2,93,
-0.02953185927334935,0.02963713258783278,2,94,
-0.030331508304216288,0.028811516178673738,2,95,
-0.032455872477876506,0.03182100619243103,2,96,
-0.0342353490604343,0.02693596691540527,2,97,
-0.0398891930771184,0.02599215218963767,2,98,
-0.040861906881619794,0.023626430866386727,2,99,
-0.036099146131689054,0.023072040761677775,2,100,
-0.037804367409308,0.024717576418307952,2,101,
-0.0341118106190809,0.026106549492275397,2,102,
-0.03149201322967377,0.027557902658909065,2,103,
-0.03215781108992297,0.022101286429615234,2,104,
-0.042727336930352355,0.01836419146088441,2,105,
-0.04428989037009686,0.017105114171941157,2,106,
-0.0448582253148207,0.013980801797266115,2,107,
-0.04765792181863106,0.01517553923668658,2,108,
-0.048595752767031944,0.01509443014345745,2,109,
-0.051565103981540204,0.016479788523497303,2,110,
-0.05220563405038963,0.016415981211579396,2,111,
-0.051885458359262226,0.015587344051674267,2,112,
-0.05045464546153069,0.014747437184765887,2,113,
-0.04578540975912437,0.014437395036047842,2,114,
-0.04908892348464643,0.010212762156599178,2,115,
-0.04944014771125725,0.007444699447575384,2,116,
-0.049028728157984224,0.004657477217797883,2,117,
-0.05061995978507161,-0.0016934552638099933,2,118,
-0.04585875839678669,-0.005177578089264376,2,119,
-0.0503678593321715,-0.007239437084802063,2,120,
-0.05554396705828793,-0.0050282612083455535,2,121,
-0.05875761748769861,-0.003730672043944774,2,122,
-0.0603227215982669,0.0011096897709266529,2,123,
-0.06334374962826743,0.0034333273573034775,2,124,
-0.06732026698110433,0.001935681618291005,2,125,
-0.07096045145587453,0.001843272373230816,2,126,
-0.07655008775554921,-0.0018752598669671658,2,127,
-0.08215467988627666,-0.005579231843718141,2,128,
-0.08770337003886552,-0.0101380745686821,2,129,
-0.09236814649212603,-0.013610252225291112,2,130,
-0.09443533900413123,-0.01645437365049059,2,131,
-0.09483613260765726,-0.019045320119771728,2,132,
-0.09299409825451696,-0.01987966031718986,2,133,
-0.09130734162238925,-0.01846014855868807,2,134,
-0.09261358936341643,-0.021381586639911757,2,135,
-0.08504626806481823,-0.020031102767861624,2,136,
-0.09125038924478361,-0.029213247192289172,2,137,
-0.09811723377636383,-0.035280354391802736,2,138,
-0.10044352235965649,-0.038429985202913866,2,139,
-0.10296231580967868,-0.0418813735430134,2,140,
-0.10256308670916553,-0.04244381494888179,2,141,
-0.1030463972152673,-0.046195401313223944,2,142,
-0.10181192776057646,-0.04783321459256175,2,143,
-0.09856416165266235,-0.04965636288114465,2,144,
-0.09817036117004029,-0.048992391739374384,2,145,
-0.0920205984918721,-0.046611741897470096,2,146,
-0.09057010236745221,-0.047291416581650064,2,147,
-0.07575706913383268,-0.03957696942243231,2,148,
-0.06556840903719818,-0.03363724101472203,2,149,
-0.065876957231567,-0.03408651530105938,2,150,
-0.0631941464753878,-0.031923334426587034,2,151,
-0.05887103021536727,-0.028995069454708207,2,152,
-0.0565546265737198,-0.026308484125178912,2,153,
-0.048968172693023566,-0.022312271811239584,2,154,
-0.04201794563606755,-0.013877292415751457,2,155,
-0.0377915317617125,-0.018896078298252288,2,156,
-0.02849931488205113,-0.02530727007086738,2,157,
-0.02314217636992108,-0.027209692249026682,2,158,
-0.012387139757830271,-0.037124185004419025,2,159,
-0.009940832710318403,-0.038588680727909115,2,160,
-0.07506106677090109,0.07198599660220294,3,0,
-0.07507312263199016,0.07208534727419046,3,1,
-0.07508367621580024,0.07201424754969059,3,2,
-0.07534289873633182,0.06933205571852195,3,3,
-0.07558590097757129,0.06355440381088806,3,4,
-0.07592391394148532,0.057104082309560586,3,5,
-0.07557311402751897,0.05896824965861304,3,6,
-0.07455581493125914,0.0551024691247113,3,7,
-0.07410706420756781,0.04862993671403475,3,8,
-0.07002932996383314,0.03670210404922875,3,9,
-0.07405787722685522,0.0370961189320204,3,10,
-0.07839726665167138,0.03971476652860185,3,11,
-0.08170657895452978,0.03979668242872808,3,12,
-0.08347446411574411,0.03891038235737563,3,13,
-0.08693546819098054,0.037370305183637195,3,14,
-0.08802086256357125,0.03626904104634843,3,15,
-0.08876871967592989,0.03504859172842414,3,16,
-0.08712277184087733,0.031098076011328583,3,17,
-0.08607836901710728,0.027812327521705652,3,18,
-0.07976429756098329,0.013295693997818969,3,19,
-0.0803526994655434,0.002111489732087326,3,20,
-0.08177282234268875,0.014148430404070636,3,21,
-0.08019057127656655,0.01470466675075894,3,22,
-0.0791496067400881,0.015156058438559685,3,23,
-0.07759874940998923,0.014762391777022751,3,24,
-0.07416650978335193,0.013105632392070238,3,25,
-0.06974756782445224,0.01033279355151443,3,26,
-0.06246558116539744,0.0030781160115766364,3,27,
-0.05924867047717795,-0.0005374469815445004,3,28,
-0.050194961740466976,4.427300672537911e-05,3,29,
-0.059477493752510366,-0.002451119093123025,3,30,
-0.06046078113479611,-0.00214249756351325,3,31,
-0.06239228702480034,-0.006274846848750042,3,32,
-0.06808885845633415,-0.0007661669894663068,3,33,
-0.07187191779955407,0.002441680454294913,3,34,
-0.07537037317697086,0.005242860111134121,3,35,
-0.07869435091758727,0.006428400869284647,3,36,
-0.07695838984375782,0.005512948671812338,3,37,
-0.07890236039570613,0.006186893836480885,3,38,
-0.07418158415949812,0.0043784342866533535,3,39,
-0.07321743704815124,0.004473833601783158,3,40,
-0.07447713963186019,0.004741526897650776,3,41,
-0.07829108726923714,0.005468833377900855,3,42,
-0.07765874844829629,0.004883082587864624,3,43,
-0.07529195841773036,0.0033453372539394076,3,44,
-0.07256419240002955,0.00045791905353492285,3,45,
-0.06644335015909306,-0.00479582133272825,3,46,
-0.06370391470632235,-0.005549550416629419,3,47,
-0.05858140047781769,-0.006704978604354876,3,48,
-0.05693950829693358,-0.022570595689184642,3,49,
-0.05265107074113727,-0.02709258487615108,3,50,
-0.050111038807889884,-0.029627321796458748,3,51,
-0.04212172109457547,-0.03531564108476971,3,52,
-0.050641939014029684,-0.02329005090158957,3,53,
-0.05416366464252079,-0.018178392736295262,3,54,
-0.057091106327955284,-0.01667909383700381,3,55,
-0.06079304231393133,-0.016047822538724433,3,56,
-0.06058208799792371,-0.016538939694079827,3,57,
-0.060910840679147,-0.01641139260907693,3,58,
-0.05646583767082484,-0.01759808416325841,3,59,
-0.05625245425085227,-0.017241504360406203,3,60,
-0.05514317981204314,-0.01731435201542302,3,61,
-0.05384502931537008,-0.01744933544554708,3,62,
-0.05376517570119764,-0.019750427807074457,3,63,
-0.0455028856479767,-0.025357047459863277,3,64,
-0.04235577877029332,-0.028029530334671895,3,65,
-0.0334498266025038,-0.03433338569144461,3,66,
-0.03966251537866996,-0.02958168508609531,3,67,
-0.04279376729283052,-0.028867148537785308,3,68,
-0.04384287643838272,-0.02627554637350315,3,69,
-0.04502922694200881,-0.025299482320828123,3,70,
-0.04654510853281958,-0.02468100498870262,3,71,
